sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1
1 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv carrying_capacity 2500
2 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv carrying_capacity 2500
3 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_cones 85.868
4 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_cones 85.868
5 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_seeds 623.141
6 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_seeds 623.141
7 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv long_term_rain 453.848
8 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv long_term_rain 453.848
9 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_size_x 2121.32
10 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_size_x 2121.32
11 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_size_y 3535.534
12 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_size_y 3535.534
13 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 17
14 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 17
15 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv burned_lower_cut 3
16 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv burned_lower_cut 3
17 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv burned_upper_cut 12
18 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv burned_upper_cut 12
19 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv wind_prop 0.15
20 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv wind_prop 0.15
21 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv wind_a 6.787
22 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv wind_a 6.787
23 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv wind_b 0.676
24 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv wind_b 0.676
25 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv birds_dist_max 1250
26 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv birds_dist_max 1250
27 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv birds_prop 0.07
28 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv birds_prop 0.07
29 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv follicles_distr_a 7.325
30 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv follicles_distr_a 7.325
31 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv follicles_distr_b 0
32 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv follicles_distr_b 0
33 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv postfire_follicles_open 0.5
34 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv postfire_follicles_open 0.5
35 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv young 5
36 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv young 5
37 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv adult 15
38 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv adult 15
39 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv recruit_post_min 0.911
40 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv recruit_post_min 0.911
41 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv recruit_post_max 0.987
42 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv recruit_post_max 0.987
43 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv recruit_post_mean 0.923
44 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv recruit_post_mean 0.923
45 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv recruit_weather 0.06
46 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv recruit_weather 0.06
47 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv senescence_age 25
48 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv senescence_age 25
49 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv senescence_increase 0.01
50 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv senescence_increase 0.01
51 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_min 0.02
52 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_min 0.02
53 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_a 0.2877622
54 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_a 0.2877622
55 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_b -0.0005888
56 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_b -0.0005888
57 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_c 0.3179949
