sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1
1 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv carrying_capacity 2250
2 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv carrying_capacity 2375
3 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv carrying_capacity 2625
4 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv carrying_capacity 2750
5 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_cones 77.2812
6 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_cones 81.5746
7 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_cones 90.1614
8 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_cones 94.4548
9 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_seeds 560.8269
10 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_seeds 591.98395
11 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_seeds 654.29805
12 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv init_seeds 685.4551
13 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv long_term_rain 408.4632
14 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv long_term_rain 431.1556
15 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv long_term_rain 476.5404
16 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv long_term_rain 499.2328
17 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_size_x 1909.188
18 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_size_x 2015.254
